trade_id,symbol,side,entry_time_utc,exit_time_utc,entry_price,exit_price,quantity,holding_minutes,exit_reason,gross_pnl_quote,fees_quote_total,net_pnl_quote,entry_notional_quote,exit_notional_quote,executed_quantity,was_tp_exit,was_sl_exit,was_forced_exit,trade_won
bt-trade-15,BTCUSDT,BUY,2025-05-07T04:00:00+00:00,2025-05-07T04:30:00+00:00,96759.99582000,96220.989257540000,0.097,30.0,STOP_LOSS,-61.669356153160000,9.333435957981380000,-71.002792111141380000,9385.71959454000,9333.435957981380000,0.097,False,True,False,False
bt-trade-16,BTCUSDT,BUY,2025-05-07T06:00:00+00:00,2025-05-07T06:15:00+00:00,96714.99333000,96237.332590010000,0.097,15.0,STOP_LOSS,-55.714446132040000,9.335021261230970000,-65.049467393270970000,9381.35435301000,9335.021261230970000,0.097,False,True,False,False
bt-trade-17,BTCUSDT,BUY,2025-05-07T06:45:00+00:00,2025-05-07T07:45:00+00:00,96605.58865500,96921.76579785714285714285714,0.096,60.0,TAKE_PROFIT,21.078869203405714285714285,9.30448951659428571428571428,11.77437968681142857142857072,9274.13651088000,9304.489516594285714285714285,0.096,True,False,False,True
bt-trade-18,BTCUSDT,BUY,2025-05-07T10:30:00+00:00,2025-05-07T11:00:00+00:00,97102.86717000,96679.59778491857142857142857,0.096,30.0,STOP_LOSS,-49.955736216137142857142857,9.28124138735218285714285714,-59.23697760348932571428571414,9321.87524832000,9281.241387352182857142857143,0.096,False,True,False,False
bt-trade-19,BTCUSDT,BUY,2025-05-07T11:30:00+00:00,2025-05-07T12:00:00+00:00,97078.15482000,96667.75179411142857142857143,0.095,30.0,STOP_LOSS,-48.210712167314285714285714,9.18343642044058571428571429,-57.39414858775487142857142829,9222.42470790000,9183.436420440585714285714286,0.095,False,True,False,False
bt-trade-20,BTCUSDT,BUY,2025-05-07T13:30:00+00:00,2025-05-07T13:45:00+00:00,97280.45592000,96822.07139938285714285714285,0.094,15.0,STOP_LOSS,-52.232507794491428571428572,9.10127471154198857142857143,-61.33378250603341714285714343,9144.36285648000,9101.274711541988571428571428,0.094,False,True,False,False
bt-trade-21,BTCUSDT,BUY,2025-05-07T15:30:00+00:00,2025-05-07T15:45:00+00:00,97143.96771000,96583.75244044142857142857143,0.094,15.0,STOP_LOSS,-61.791768303245714285714286,9.07887272940149428571428571,-70.87064103264720857142857171,9131.53296474000,9078.872729401494285714285714,0.094,False,True,False,False
bt-trade-22,BTCUSDT,BUY,2025-05-07T16:45:00+00:00,2025-05-07T17:30:00+00:00,96905.57857500,96303.44675284642857142857143,0.093,45.0,STOP_LOSS,-65.010478267757142857142857,8.95622054801471785714285714,-73.96669881577186071428571414,9012.21880747500,8956.220548014717857142857143,0.093,False,True,False,False
bt-trade-23,BTCUSDT,BUY,2025-05-07T18:45:00+00:00,2025-05-07T19:15:00+00:00,96641.88679500,95997.18010890071428571428572,0.093,30.0,STOP_LOSS,-68.945417279168571428571428,8.92773775012776642857142857,-77.87315502929633785714285657,8987.69547193500,8927.737750127766428571428572,0.093,False,True,False,False
bt-trade-24,BTCUSDT,BUY,2025-05-07T19:30:00+00:00,2025-05-07T19:45:00+00:00,96517.30453500,95812.17595996642857142857143,0.092,15.0,STOP_LOSS,-73.751420920308571428571428,8.81472018831691142857142857,-82.56614110862548285714285657,8879.59201722000,8814.720188316911428571428572,0.092,False,True,False,False
bt-trade-25,BTCUSDT,BUY,2025-05-07T20:00:00+00:00,2025-05-07T23:00:00+00:00,96452.19199500,97322.33342357142857142857143,0.091,180.0,TAKE_PROFIT,70.405720528455000000000000,8.85633234154500000000000000,61.54938818691000000000000000,8777.14947154500,8856.332341545000000000000000,0.091,True,False,False,True
bt-trade-26,BTCUSDT,BUY,2025-05-08T00:15:00+00:00,2025-05-08T00:30:00+00:00,97174.85314500,96690.45822342214285714285715,0.091,15.0,STOP_LOSS,-52.922849499779999999999999,8.79883169833141500000000000,-61.72168119811141499999999900,8842.91163619500,8798.831698331415000000000001,0.091,False,True,False,False
bt-trade-27,BTCUSDT,BUY,2025-05-08T00:45:00+00:00,2025-05-08T01:00:00+00:00,97818.89500500,98290.79929071428571428571429,0.090,15.0,TAKE_PROFIT,33.667685163835714285714286,8.84617193616428571428571429,24.82151322767142857142857171,8803.70055045000,8846.171936164285714285714286,0.090,True,False,False,True
bt-trade-28,BTCUSDT,BUY,2025-05-08T05:15:00+00:00,2025-05-08T08:00:00+00:00,98985.45799500,99553.39228071428571428571429,0.089,165.0,TAKE_PROFIT,41.736445667016428571428572,8.86025191298357142857142857,32.87619375403285714285714343,8809.70576155500,8860.251912983571428571428572,0.089,True,False,False,True
bt-trade-29,BTCUSDT,BUY,2025-05-08T13:15:00+00:00,2025-05-08T13:30:00+00:00,99468.41935500,99010.469171935000,0.089,15.0,STOP_LOSS,-49.610255615380000,8.811931756302215000,-58.422187371682215000,8852.68932259500,8811.931756302215000,0.089,False,True,False,False
bt-trade-30,BTCUSDT,BUY,2025-05-08T14:15:00+00:00,2025-05-08T15:00:00+00:00,99549.73999500,99029.06029930071428571428572,0.089,45.0,STOP_LOSS,-55.200419776791428571428571,8.81358636663776357142857143,-64.01400614342919214285714243,8859.92685955500,8813.586366637763571428571429,0.089,False,True,False,False
bt-trade-31,BTCUSDT,BUY,2025-05-08T15:00:00+00:00,2025-05-08T15:15:00+00:00,99795.90301500,100342.9473007142857142857143,0.088,15.0,TAKE_PROFIT,39.357857677537142857142858,8.83017936246285714285714286,30.52767831507428571428571514,8782.03946532000,8830.179362462857142857142858,0.088,True,False,False,True
bt-trade-32,BTCUSDT,BUY,2025-05-08T19:15:00+00:00,2025-05-08T20:30:00+00:00,101254.79209500,101921.9635235714285714285714,0.087,75.0,TAKE_PROFIT,49.234747373449285714285712,8.86721082655071428571428571,40.36753654689857142857142629,8809.16691226500,8867.210826550714285714285712,0.087,True,False,False,True
bt-trade-33,BTCUSDT,BUY,2025-05-09T01:30:00+00:00,2025-05-09T02:30:00+00:00,102968.73864000,102308.3037547942857142857143,0.086,60.0,STOP_LOSS,-65.652711650731428571428570,8.79851412291230857142857143,-74.45122577364373714285714143,8855.31152304000,8798.514122912308571428571430,0.086,False,True,False,False
bt-trade-34,BTCUSDT,BUY,2025-05-09T04:00:00+00:00,2025-05-09T06:45:00+00:00,102711.34000500,103247.360005000,0.085,165.0,TAKE_PROFIT,36.83123609957500,8.776025600425000,28.055210499150000,8730.46390042500,8776.025600425000,0.085,True,False,False,True
bt-trade-35,BTCUSDT,BUY,2025-05-09T10:00:00+00:00,2025-05-09T14:30:00+00:00,103091.24986500,102288.3585668335714285714285,0.085,270.0,STOP_LOSS,-77.008516582671428571428578,8.69451047818085357142857142,-85.70302706085228214285714942,8762.75623852500,8694.510478180853571428571422,0.085,False,True,False,False
bt-trade-36,BTCUSDT,BUY,2025-05-09T14:45:00+00:00,2025-05-09T15:15:00+00:00,103207.56799500,102470.5926353007142857142857,0.084,30.0,STOP_LOSS,-70.575365926320000000000001,8.60752978136526000000000000,-79.18289570768526000000000100,8669.43571158000,8607.529781365259999999999999,0.084,False,True,False,False
bt-trade-37,BTCUSDT,BUY,2025-05-09T17:15:00+00:00,2025-05-10T07:00:00+00:00,103082.91570000,103948.0699857142857142857143,0.084,825.0,TAKE_PROFIT,64.013995081200000000000001,8.73163787880000000000000000,55.28235720240000000000000100,8658.96491880000,8731.637878800000000000000001,0.084,True,False,False,True
bt-trade-38,BTCUSDT,BUY,2025-05-10T09:30:00+00:00,2025-05-10T11:30:00+00:00,103796.75244000,103205.5762091085714285714285,0.084,120.0,STOP_LOSS,-58.377730599840000000000006,8.66926840156511999999999999,-67.04699900140512000000000599,8718.92720496000,8669.268401565119999999999994,0.084,False,True,False,False
bt-trade-39,BTCUSDT,BUY,2025-05-10T12:00:00+00:00,2025-05-10T14:15:00+00:00,103657.36278000,103141.8938852314285714285715,0.083,135.0,STOP_LOSS,-51.387479376531428571428566,8.56077719247420857142857143,-59.94825656900563714285713743,8603.56111074000,8560.777192474208571428571434,0.083,False,True,False,False
bt-trade-40,BTCUSDT,BUY,2025-05-10T16:45:00+00:00,2025-05-10T17:45:00+00:00,103486.93761000,103009.3390050271428571428572,0.083,60.0,STOP_LOSS,-48.230100034377142857142852,8.54977513741725285714285715,-56.77987517179439571428570915,8589.41582163000,8549.775137417252857142857148,0.083,False,True,False,False
bt-trade-41,BTCUSDT,BUY,2025-05-10T19:30:00+00:00,2025-05-10T20:00:00+00:00,103309.74906000,102811.4850885342857142857143,0.082,30.0,STOP_LOSS,-49.329045083108571428571427,8.43054177725981142857142857,-57.75958686036838285714285557,8471.39942292000,8430.541777259811428571428573,0.082,False,True,False,False
